Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
21,0.7,1214.2,871.57,0.99,1235.49,852.6,1.0,1195.66,853.13,0.99,1265.6,855.6,0.96,1174.01,858.46,0.86,1304.63,947.98,1.0,1149.76,955.55,1.0,1360.28,1073.72,1.0,1112.78,1087.46,0.99,1405.46,1183.01,0.99,1053.8,1187.44,0.99,1286.27,1153.63,1.0,1184.5,1154.62,1.0,1399.89,1215.01,0.99,1062.99,1199.86,0.99,1226.6,1245.83,0.98,1265.52,1256.41,0.98
22,0.733,1214.11,871.9,0.99,1235.43,852.97,1.0,1195.75,853.39,0.99,1265.87,855.86,0.96,1174.32,858.47,0.85,1305.19,948.52,1.0,1150.25,955.59,1.0,1359.84,1075.78,1.0,1113.13,1087.59,0.99,1406.02,1183.39,0.99,1053.79,1186.31,0.99,1287.05,1153.71,1.0,1185.85,1154.57,1.0,1393.14,1213.05,0.99,1066.2,1198.46,1.0,1227.14,1246.23,0.98,1273.11,1255.95,0.98
23,0.767,1214.35,872.71,0.99,1235.88,853.33,1.0,1195.66,853.84,0.99,1266.46,855.84,0.96,1173.96,858.62,0.85,1305.23,948.62,1.0,1150.42,955.25,1.0,1359.69,1075.27,1.0,1113.46,1087.51,0.99,1406.43,1183.45,0.99,1054.23,1187.26,0.99,1287.06,1154.86,1.0,1185.45,1155.34,1.0,1394.3,1215.91,0.99,1063.12,1199.12,1.0,1229.2,1244.38,0.98,1265.47,1256.12,0.98
24,0.8,1213.09,871.85,0.99,1234.96,853.12,1.0,1194.91,853.05,0.99,1266.63,856.45,0.96,1173.62,857.79,0.84,1305.19,948.61,1.0,1150.01,954.95,1.0,1359.68,1073.89,1.0,1113.2,1086.22,0.99,1406.23,1182.73,0.99,1054.51,1185.85,0.99,1286.55,1153.81,1.0,1184.51,1154.42,1.0,1395.7,1212.85,1.0,1065.73,1198.56,1.0,1233.82,1244.85,0.98,1264.28,1255.06,0.98
25,0.833,1213.77,872.98,0.99,1235.35,854.18,1.0,1195.77,854.26,0.99,1266.31,856.49,0.96,1174.51,858.23,0.84,1305.25,949.06,1.0,1150.63,954.54,1.0,1360.46,1075.37,1.0,1112.88,1086.72,0.99,1405.46,1182.76,0.99,1054.06,1186.66,0.99,1287.49,1154.85,1.0,1185.93,1154.97,1.0,1397.39,1214.91,0.99,1067.92,1196.89,0.99,1237.98,1242.48,0.98,1267.95,1254.57,0.98
26,0.867,1214.34,872.83,0.99,1236.02,853.8,1.0,1196.16,854.07,0.99,1267.38,855.83,0.96,1174.74,857.99,0.84,1305.93,948.43,1.0,1150.75,955.02,1.0,1360.98,1075.3,1.0,1113.12,1087.19,0.99,1405.89,1182.85,0.99,1054.26,1186.42,0.99,1287.98,1154.15,1.0,1186.08,1154.76,1.0,1398.27,1213.36,1.0,1065.61,1197.24,1.0,1233.18,1245.51,0.98,1266.33,1255.9,0.98
27,0.9,1214.98,872.65,0.99,1236.53,853.64,1.0,1196.69,854.03,0.99,1267.68,855.95,0.96,1175.37,858.43,0.83,1306.09,948.52,1.0,1150.84,954.96,1.0,1361.26,1074.81,1.0,1113.47,1087.87,0.99,1406.04,1184.61,0.99,1053.21,1186.2,0.99,1287.76,1154.85,1.0,1185.78,1155.07,1.0,1398.8,1217.4,1.0,1064.29,1197.68,1.0,1228.78,1243.35,0.98,1265.79,1255.4,0.98
28,0.933,1214.8,872.25,1.0,1236.35,853.2,1.0,1196.55,853.6,0.99,1268.03,855.86,0.96,1175.6,858.34,0.82,1306.79,949.01,1.0,1151.39,955.29,1.0,1361.56,1074.74,1.0,1112.77,1087.27,0.99,1406.01,1183.0,0.99,1053.81,1186.09,0.99,1287.94,1154.34,1.0,1185.79,1154.66,1.0,1398.26,1217.4,0.99,1068.56,1198.38,0.99,1236.2,1242.01,0.98,1264.26,1253.72,0.98
29,0.967,1214.47,870.92,0.99,1236.07,852.22,1.0,1196.43,852.31,0.99,1267.39,855.57,0.96,1175.34,857.28,0.84,1306.71,948.33,1.0,1150.85,955.05,1.0,1361.36,1075.16,1.0,1112.77,1087.41,0.99,1406.42,1184.76,0.99,1054.38,1186.83,0.99,1287.69,1153.92,1.0,1185.39,1154.7,1.0,1396.23,1213.18,1.0,1066.97,1199.52,1.0,1233.66,1245.83,0.98,1265.58,1255.43,0.98
30,1.0,1214.43,872.25,1.0,1236.27,853.38,1.0,1196.57,853.33,0.99,1268.73,856.53,0.97,1175.89,857.91,0.8,1306.72,948.35,1.0,1151.81,955.07,1.0,1361.46,1073.33,1.0,1113.65,1087.14,0.99,1406.15,1182.24,0.99,1053.76,1186.87,0.99,1287.96,1153.56,1.0,1186.56,1154.25,1.0,1397.28,1213.29,1.0,1068.63,1197.78,1.0,1229.98,1244.38,0.98,1271.93,1254.37,0.98
31,1.033,1214.68,872.75,1.0,1236.58,853.6,1.0,1196.85,853.65,0.99,1269.62,856.18,0.97,1176.32,857.76,0.79,1307.85,948.77,1.0,1152.44,955.41,1.0,1362.4,1076.44,1.0,1113.59,1087.48,0.99,1406.37,1183.51,0.99,1053.73,1186.37,0.99,1287.26,1153.58,1.0,1185.93,1154.22,1.0,1393.55,1211.16,1.0,1068.0,1198.06,1.0,1224.38,1247.94,0.98,1271.05,1256.58,0.98
32,1.067,1215.4,872.13,1.0,1237.22,852.97,1.0,1197.34,853.22,0.99,1270.25,856.25,0.97,1176.63,858.18,0.8,1307.71,949.35,1.0,1152.65,955.69,1.0,1361.44,1074.83,1.0,1113.67,1085.65,0.99,1406.36,1183.59,0.99,1054.56,1186.89,0.99,1286.65,1153.64,1.0,1184.96,1154.31,1.0,1394.11,1211.91,1.0,1067.98,1199.08,1.0,1230.35,1247.31,0.98,1266.24,1256.35,0.98
33,1.1,1215.47,871.79,1.0,1237.08,852.92,1.0,1197.76,853.18,0.99,1269.79,856.08,0.97,1177.24,857.99,0.8,1308.24,949.0,1.0,1152.28,955.3,1.0,1361.99,1075.36,1.0,1113.44,1086.08,0.99,1406.88,1183.4,0.99,1054.41,1185.61,0.99,1287.67,1154.96,1.0,1185.5,1155.55,1.0,1388.79,1211.29,1.0,1066.24,1198.11,1.0,1230.54,1248.31,0.98,1264.72,1256.62,0.98
34,1.133,1215.11,871.98,1.0,1236.76,853.35,1.0,1197.72,853.4,0.99,1269.97,856.64,0.97,1177.49,858.07,0.78,1308.17,948.83,1.0,1152.97,955.41,1.0,1361.52,1074.03,1.0,1113.79,1084.89,0.99,1406.51,1182.27,0.99,1054.61,1184.37,0.99,1288.34,1153.96,1.0,1186.51,1154.92,1.0,1392.36,1209.15,1.0,1068.48,1198.31,1.0,1233.81,1248.56,0.98,1268.95,1255.81,0.98
35,1.167,1215.74,872.11,1.0,1237.44,853.31,1.0,1198.18,853.3,0.99,1269.93,856.5,0.97,1177.85,857.84,0.8,1307.99,948.99,1.0,1152.99,955.27,1.0,1361.72,1076.16,1.0,1114.06,1086.95,0.99,1407.1,1185.26,0.99,1053.77,1185.08,0.99,1286.91,1154.59,1.0,1185.46,1155.22,1.0,1391.31,1212.28,1.0,1066.85,1200.23,1.0,1227.6,1247.26,0.98,1268.81,1255.79,0.98
36,1.2,1216.22,873.43,0.99,1237.73,854.75,1.0,1198.49,854.63,0.99,1268.18,857.41,0.96,1177.22,858.6,0.84,1307.08,949.4,1.0,1152.24,955.13,1.0,1361.99,1074.6,1.0,1113.56,1086.26,0.99,1407.38,1184.13,0.99,1054.21,1185.67,0.99,1288.28,1154.07,1.0,1186.35,1154.52,1.0,1390.38,1212.36,1.0,1067.61,1197.98,1.0,1246.08,1242.37,0.98,1265.98,1252.74,0.98
