Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
24,0.8,1426.39,1079.52,0.99,1447.8,1061.44,0.99,1410.12,1059.89,0.99,1476.31,1069.34,0.92,1386.95,1065.95,0.79,1510.7,1162.35,1.0,1352.28,1169.71,1.0,1553.99,1297.53,0.99,1311.35,1313.27,0.98,1609.73,1398.39,0.99,1278.65,1423.22,0.97,1485.46,1392.3,1.0,1374.38,1395.61,1.0,1624.34,1462.63,0.99,1288.72,1475.31,0.99,1437.68,1509.24,0.95,1433.86,1483.22,0.95
25,0.833,1427.27,1079.15,0.99,1448.33,1060.93,0.99,1410.65,1059.68,0.99,1476.11,1068.61,0.91,1386.74,1065.92,0.82,1510.82,1162.24,1.0,1352.28,1169.81,1.0,1553.4,1296.45,0.99,1311.27,1312.66,0.98,1609.67,1397.93,0.99,1278.58,1421.95,0.98,1484.59,1391.76,1.0,1373.23,1394.99,1.0,1622.49,1463.27,0.99,1287.3,1474.89,0.99,1438.77,1508.28,0.95,1430.14,1483.08,0.95
26,0.867,1427.11,1078.33,0.99,1448.18,1060.2,0.99,1410.64,1059.04,0.99,1476.42,1068.16,0.92,1387.25,1065.66,0.8,1511.32,1161.99,1.0,1352.44,1169.82,1.0,1554.07,1296.39,0.99,1311.53,1312.1,0.98,1609.66,1398.32,0.99,1279.29,1421.46,0.98,1485.21,1392.18,1.0,1373.47,1395.75,1.0,1623.38,1462.72,0.99,1288.72,1475.52,0.99,1439.89,1508.22,0.95,1426.29,1484.38,0.95
27,0.9,1427.0,1078.06,0.99,1447.93,1060.0,0.99,1410.69,1058.76,0.99,1475.83,1067.61,0.91,1387.34,1064.97,0.81,1510.86,1161.32,1.0,1352.32,1169.26,1.0,1554.55,1295.96,0.99,1311.65,1312.83,0.98,1609.73,1398.18,0.99,1278.67,1421.55,0.97,1485.66,1391.93,1.0,1374.15,1395.4,1.0,1624.66,1464.23,0.99,1288.37,1475.51,0.99,1438.56,1508.61,0.95,1425.84,1484.91,0.95
28,0.933,1426.78,1078.01,0.99,1447.9,1059.88,0.99,1410.41,1058.7,0.99,1476.25,1067.76,0.92,1387.15,1065.18,0.8,1510.94,1161.38,1.0,1352.18,1169.89,1.0,1554.17,1296.22,0.99,1311.54,1313.09,0.98,1609.83,1398.52,0.99,1278.95,1421.79,0.98,1484.57,1392.44,1.0,1372.66,1396.46,1.0,1624.7,1462.09,0.99,1289.86,1476.91,0.99,1441.25,1508.92,0.96,1423.45,1483.6,0.95
29,0.967,1427.66,1078.17,0.99,1448.44,1060.07,0.99,1411.04,1058.95,0.99,1475.83,1067.94,0.9,1387.0,1065.49,0.83,1510.97,1161.64,1.0,1352.11,1169.69,1.0,1554.38,1296.52,0.99,1311.02,1313.01,0.98,1610.15,1397.83,0.99,1279.08,1421.45,0.98,1484.96,1392.5,1.0,1373.23,1396.09,1.0,1625.49,1463.47,0.99,1290.85,1475.99,0.99,1437.87,1508.49,0.95,1422.21,1482.67,0.94
30,1.0,1427.74,1077.81,0.99,1448.61,1059.62,0.99,1411.18,1058.71,0.99,1476.35,1067.27,0.91,1387.43,1065.3,0.81,1511.09,1161.1,1.0,1352.78,1169.78,1.0,1554.25,1296.68,0.99,1311.42,1313.62,0.98,1610.35,1397.78,0.99,1278.69,1421.58,0.98,1486.14,1392.88,1.0,1375.02,1396.57,1.0,1624.53,1463.25,0.99,1291.06,1475.55,0.99,1437.54,1510.09,0.95,1428.93,1480.04,0.95
31,1.033,1427.7,1077.99,0.99,1448.57,1059.96,0.99,1411.3,1058.83,0.99,1476.32,1067.88,0.91,1387.84,1065.46,0.82,1510.76,1161.42,1.0,1352.97,1169.52,1.0,1553.88,1295.82,0.99,1311.92,1312.33,0.98,1610.13,1397.71,0.99,1279.18,1420.63,0.98,1484.82,1392.06,1.0,1374.07,1395.68,1.0,1623.39,1462.69,0.99,1289.85,1475.05,0.99,1438.03,1509.18,0.96,1431.17,1483.58,0.95
32,1.067,1427.91,1077.9,0.99,1448.78,1059.85,0.99,1411.5,1058.75,0.99,1476.45,1067.61,0.91,1387.82,1065.28,0.82,1510.88,1161.12,1.0,1353.25,1169.62,1.0,1554.09,1295.32,0.99,1312.2,1312.47,0.98,1609.28,1397.43,0.99,1279.63,1422.16,0.98,1485.33,1393.0,1.0,1374.68,1396.64,1.0,1624.49,1463.02,0.99,1289.74,1475.48,0.99,1436.82,1510.54,0.96,1432.8,1481.99,0.95
33,1.1,1428.17,1077.35,0.99,1448.87,1059.45,0.99,1411.76,1058.34,0.99,1476.16,1067.58,0.9,1387.85,1065.14,0.83,1510.86,1161.09,1.0,1352.7,1169.51,1.0,1554.62,1295.85,0.99,1311.66,1312.05,0.98,1610.08,1397.72,0.99,1279.45,1420.91,0.98,1485.0,1392.5,1.0,1373.65,1396.3,1.0,1624.89,1462.39,0.99,1289.54,1476.39,0.99,1438.66,1510.58,0.95,1426.14,1482.39,0.95
34,1.133,1427.73,1077.56,0.99,1448.77,1059.43,0.99,1411.37,1058.38,0.99,1476.97,1067.24,0.92,1388.03,1064.9,0.8,1511.91,1160.98,1.0,1353.02,1169.27,1.0,1555.37,1296.51,0.99,1311.28,1312.07,0.98,1609.56,1398.02,0.99,1279.12,1422.11,0.98,1485.9,1391.8,1.0,1373.75,1395.44,1.0,1624.68,1463.04,0.99,1287.73,1477.23,0.99,1440.16,1510.08,0.95,1418.54,1481.17,0.94
35,1.167,1427.93,1077.55,0.99,1448.81,1059.44,0.99,1411.46,1058.42,0.99,1476.72,1067.07,0.91,1387.81,1064.87,0.82,1511.52,1161.4,1.0,1352.67,1169.68,1.0,1554.97,1297.22,0.99,1311.36,1313.61,0.98,1609.73,1398.44,0.99,1279.09,1423.04,0.98,1485.01,1392.36,1.0,1373.0,1396.18,1.0,1625.55,1462.05,0.99,1286.6,1475.65,0.99,1440.94,1509.13,0.95,1423.83,1485.17,0.95
36,1.2,1426.81,1077.86,0.99,1447.81,1059.89,0.99,1410.59,1058.96,0.99,1476.67,1068.54,0.93,1388.23,1066.66,0.78,1511.69,1162.14,1.0,1353.44,1169.89,1.0,1554.38,1297.76,0.99,1312.7,1312.84,0.98,1610.79,1398.25,0.99,1279.03,1421.04,0.97,1485.12,1392.99,1.0,1373.74,1396.36,1.0,1625.92,1461.95,0.99,1283.55,1473.3,0.99,1437.14,1509.87,0.96,1435.12,1486.28,0.95
37,1.233,1428.1,1078.22,0.99,1448.95,1060.17,0.99,1411.6,1059.28,0.99,1476.89,1068.24,0.91,1388.12,1066.35,0.82,1511.19,1161.62,1.0,1352.91,1169.85,1.0,1553.93,1296.35,0.99,1311.84,1312.57,0.98,1610.04,1397.71,0.99,1279.55,1421.56,0.97,1484.91,1392.08,1.0,1373.57,1395.71,1.0,1624.8,1461.48,0.99,1285.45,1473.62,0.99,1438.08,1510.52,0.96,1432.36,1484.44,0.95
38,1.267,1428.34,1078.36,0.99,1449.37,1060.15,0.99,1411.88,1059.24,0.99,1477.86,1068.12,0.92,1388.74,1066.21,0.8,1511.8,1162.15,1.0,1353.38,1170.08,1.0,1554.83,1297.63,0.99,1311.85,1313.41,0.98,1610.37,1397.89,0.99,1278.83,1421.06,0.97,1485.2,1393.0,1.0,1373.81,1396.48,1.0,1625.88,1462.07,0.99,1285.95,1473.46,0.99,1438.4,1509.64,0.96,1433.68,1484.35,0.95
